,Scn11a_Scn9a,Scn11a_Scn7a_Scn9a,Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn9a,Scn11a_Scn7a,Scn10a_Scn11a_Scn7a,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a,Scn10a_Scn7a,Scn10a_Scn11a,Scn7a,Scn10a
Pmp22,0.03307020464925099,0.049327617637663274,0.008961773020486313,0.04102220119154169,0.016976880380898614,0.03886380113173908,0.04517490835577431,0.02524443101379727,0.0316060274005673,0.022858831839344423,0.022619009375182318,0.030873938776225452,0.016143813431087173,0.008179195656940943
Kcnn4,0.1551432047806488,0.15589584620597124,0.012107364013707751,0.15478583055604128,0.009372919211215625,0.14441660005962295,0.14405922583501543,0.012773377764192314,0.007737667231645562,0.1444924005469263,0.0027940071248097535,0.14513134269480255,2.1658969610472707e-05,0.0018518419518414723
Scn9a,0.0,0.0,0.0,0.0,0.0,0.03771583514676472,0.011574789891792628,0.0,0.0,0.044313313636956383,0.03326164987798322,0.02025969169246303,0.006993631363906959,0.02418567369768836
Cd36,0.1687172770805847,0.025373228485190445,0.10199299847090632,0.10004265521139878,0.033218362548321674,0.08075800257156221,0.14901379959853428,0.0412572816531831,0.10984438482820244,0.06042316251811736,0.2100495644495158,0.007901394642508806,0.14156248623501058,0.06866212063689164
Cftr,0.21957939687588945,0.2991850086709762,0.12386879269338413,0.29742810090906785,0.20122038939784653,0.1767394552173831,0.25545299932419946,0.2028206766816274,0.28679132569692734,0.09714064347106662,0.15754285356003575,0.16986163545925645,0.07950347396577565,0.07200597234390917
Mc1r,0.2622768233172221,0.13484416074956548,0.5691014129811474,0.2605248273061793,0.5731959490693526,0.4293950130848027,0.563372993922505,0.4524858166064652,0.44971022356295975,0.30917700067701515,0.20801434392834928,0.40306592960860155,0.11226514517568047,0.05566012570964525
Mgll,0.07146729608165371,0.11160624060864177,0.2921396459020724,0.022302077703074862,0.3417521929898622,0.3991368862344848,0.3448674423068872,0.25121788873127066,0.3035382936376156,0.35810331323607464,0.013227879949072579,0.3072526600818675,0.04187231231797229,0.05203285613132032
Ccr2,0.14662578255168707,0.13018301519518494,0.10403799875965938,0.0023961027879996033,0.04177074820612869,0.02352894285592816,0.12477017763594316,0.08884434906073553,0.05641447335123437,0.04051377719487317,0.1610809555076725,0.1085709528150941,0.015484323322655246,0.14637438244465872
Iapp,0.060450319889566693,0.017499823174047403,0.34086093258839767,0.10755116182014156,0.39071277228902335,0.32927654259994377,0.28378177120570025,0.2994290474606832,0.34917752774993593,0.28522088047927285,0.005772317921665654,0.23967840342790925,0.0422110675673201,0.048889782729672794
Cxcl12,0.16845389076606407,0.1255026092962786,0.12207021881716197,0.1627371017295305,0.11616789594884047,0.004626770819717055,0.000660967276635054,0.07904936532184809,0.07383120271396462,0.04721857321921168,0.04695186651213652,0.04280052878708165,0.042707760898451665,0.004603579042106766
Gpr39,0.08962420783106395,0.09364974362970842,0.045979359018031886,0.1091457952379881,0.06802251615671126,0.0484036570727992,0.06793272428985991,0.05082047230461707,0.07287859308065339,0.04425840614967333,0.026420360509173412,0.06378747537527596,0.004766290078445613,0.021616658324522527
Dpp6,0.036668360869517386,0.07086061175732922,0.11766157415226434,0.18651933075622434,0.2682562172348409,0.19089688475000793,0.039575463239333246,0.010724164247767697,0.16102303064798212,0.08042700603958174,0.042465662334445174,0.06994791715699682,0.10948112929868056,0.15108479267868444
