,Scn11a_Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn9a,Scn11a_Scn9a,Scn11a_Scn7a,Scn10a_Scn7a,Scn9a,Scn7a,Scn10a_Scn11a,Scn10a,Scn11a
Usp53,0.5689309731648581,0.554663365405436,0.3865497518585998,0.3002870784931725,0.7800664480893439,0.11643529404045064,0.13591766036233674,0.6157595620287882,0.602879096410972,0.04928996782582639,0.4372164068600325,0.3463543183602763,0.1637749408900719,0.18346589559469728
Kcnh1,0.22694611180969101,0.3883939120738333,0.33346631394971804,0.12145117321881896,0.10014478002641422,0.2331919143989181,0.07095454221926972,0.04804545382650438,0.20509762983700677,0.18144612367236868,0.15268013476001804,0.05576430836635113,0.050850166472909596,0.10639057075296371
Rimbp2,1.3786280512693256,1.1783450441364707,1.4431515570490805,1.4529073570093238,0.6858337221420013,1.5288593173495073,1.7374843054650848,0.42284014491550376,0.6352962189025729,1.816749274869179,0.37023063861744065,0.3618347033709001,0.28412371815532445,0.07889807316794929
Ifng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dlgap2,0.1651602598126066,0.5018250366520093,0.2708361773448838,0.45922778601277603,0.055355528909210625,0.5727430487505774,0.22184041276904956,0.16403704116888018,0.16229410439394715,0.33228808869219617,0.060088558490846954,0.12082780776329118,0.23283250658155827,0.1077674343842998
Epb41,1.0879533393836072,1.2881099679674757,0.939416516116629,1.13182144341439,0.8021230806637207,0.9838103719787504,0.7766299748659184,0.45647636576449724,0.6501485144315994,0.6282953777604373,0.3048388619830762,0.5017734992352341,0.3514032168231539,0.1504916045382708
Kcnq5,0.10066655624283037,0.20829746748882538,0.13534221010062708,0.08946515066895777,0.2749701959819732,0.025243750995220585,0.1693928657713203,0.20448249326218723,0.3151978546526985,0.10081266378285508,0.248078700828477,0.0038717907085273322,0.07069061775381874,0.07033347204175912
Slc39a8,0.2002791097364517,0.07434533711090154,0.12959237239029503,0.5371686536989375,0.3587720561354149,0.45665665140120426,0.5886075358084666,0.3008328511001672,0.4388238941097036,0.5094645995817602,0.3790323732550333,0.03198391277878643,0.05517800290999888,0.0858503446792921
Ccl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc34a1,1.4881758022224996,2.545197163395262,0.6556927130447635,3.2861525681567425,2.7194246268865894,2.4738506934800393,1.3852000173274455,0.8062265665412127,1.9800070838673842,0.5617538126750263,0.05355731944419671,2.68868747149253,1.9507697717618702,0.7459674193063417
Asic2,7.4599874156203505,8.429168854985654,6.310015334139118,4.636254082442607,8.296221860496091,3.4955727538928603,2.484608973617896,6.1985304665264085,7.160409081524491,1.3144167830181388,5.035393046817677,3.345833389248165,2.1933774389528806,1.1837550728644584
Nefl,3.4867722403985634e-05,3.4867722403985634e-05,3.4867722403985634e-05,3.4867722403985634e-05,0.0,3.4867722403985634e-05,3.4867722403985634e-05,0.0,0.0,3.4867722403985634e-05,0.0,0.0,0.0,0.0
Gabrb3,0.08687785452593366,0.006459474570325339,0.20446242001444667,0.5785310015732968,0.1173770830078209,0.46645149913396394,0.35038845559299636,0.3245782142165356,0.23150367909005026,0.2371055830769632,0.43819302528504334,0.33481377525499734,0.22516869772109938,0.10988022388122912
Rgs7,0.05224875726471756,0.0011983312113160232,0.011990895896791321,0.046393618220625495,0.09344707651503256,0.017428893757553562,0.031058014163352157,0.0797117755037172,0.03332574106672279,0.032620395746260855,0.01995448966353195,0.07673111949625352,0.01546453983102414,0.06099354182291254
