,Scn11a_Scn7a_Scn9a,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a_Scn9a,Scn9a,Scn10a_Scn9a,Scn10a_Scn11a_Scn7a,Scn11a_Scn7a,Scn10a_Scn11a,Scn10a_Scn7a,Scn11a,Scn7a,Scn10a
Fgf14,5.123637549754371,6.879165726452428,6.7172165691628845,2.182210100534205,2.044013528579094,3.953285582903167,3.83884141514549,1.05461253369318,1.2178572280885707,1.799578430803832,2.8140275934142753,1.7296163477591293,2.9271759523606073,0.043618290362882166
Celf4,1.177345108188669,1.2413736630952448,1.3746835714316472,0.7699739853681008,0.8764626950525732,0.8366687304298156,0.9583985540683636,0.49543523008933954,0.3577480063410394,0.0687640217417175,0.5701683532007952,0.0601685211103542,0.4171604504022035,0.1413482696953323
Slc1a2,0.07064633874440894,0.046965518238975566,0.08017808785456625,0.13696007039302735,0.1001452412780597,0.02156403074639934,0.013728191728954278,0.012849290304955697,0.04879759488551491,0.07823460051021364,0.10224964999383647,0.11601498589097929,0.06904946142150306,0.034784687967232386
Hoxd1,0.015719993498909166,0.015719993498909166,0.015719993498909166,0.0007891082850137789,0.0007891082850137789,0.0007891082850137789,0.0007891082850137789,0.014108299135421677,0.014108299135421677,0.0,0.014108299135421677,0.0,0.014108299135421677,0.0
Grm3,0.1675605970027292,0.7529065480144123,0.8382088896694626,0.29923469409469156,0.21606320718019403,0.2834053772010737,0.36830187094637973,0.01775723065547672,0.12098592328555217,0.48499222436943046,0.5729666250812532,0.5858532608988634,0.4693658654783282,0.10211252575917024
Grik3,0.4124048204222689,0.1447741888594544,0.2382819850987926,0.5652428571490373,0.67741002137604,0.29667456336981374,0.4046926057181507,0.18938319940715148,0.1023921083780524,0.3684521694932412,0.08014620011029978,0.2655443508289808,0.16549639799195087,0.09995419448102293
Rapgef4,0.41829679207461246,0.25414910161115845,0.1787756673334789,0.5475434273808856,0.4369990080788721,0.3854574249490338,0.2785945281810973,0.0522533500551797,0.033698380128437906,0.05242515430284548,0.21824179560907,0.16802556717987505,0.13525984574059663,0.11255700334652421
Grin2a,0.8380521084866739,0.664145587009681,0.2512933776835127,0.9585335319521047,0.5827854734108031,0.7741131538335365,0.3671291676514434,0.29927811893116285,0.08955115349170287,0.18063048763681422,0.5189076718274608,0.20514243886236458,0.10299911144989549,0.40472230712000795
Scn11a,0.0,0.0797689518528235,0.13270047792867376,0.0,0.0,0.052299142209772144,0.10354986355212159,0.0,0.0,0.0,0.07951932726950602,0.0,0.025406245626789878,0.04919270261980582
Hcn1,0.0441017385282539,0.51469184456386,0.5603771153229073,0.5642172191401286,0.5165524982227683,0.09568572506300346,0.04992126992142772,0.1647679019536611,0.11757824748024695,0.43365390189446873,0.6458489981853878,0.4804872731396,0.6002032731245097,0.04414132806276982
Pmp22,0.010876711664918947,0.010876711664918947,0.010876711664918947,0.004328258197758568,0.004335733770772539,0.004328258197758568,0.004335733770772539,0.006578354755884653,0.006570879433703584,0.0,0.006578354755884653,0.0,0.006570879433703584,0.0
Kcnn4,0.0033598591706531277,0.002887379019506477,0.0031104946329806784,0.002139285318412437,0.0019227319029590378,0.002624889997715731,0.002382087658064084,0.006201302451707219,0.005971624860403947,0.0007284069749165946,0.0057353846747347555,0.0004987291193832448,0.005499144489065565,0.00023624009759249843
Scn9a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.220349622704045,4.396323277875908,2.7787630762432,1.2310212747265619,2.963305189766088,1.4342874104679162,0.23151071456619282
Cd36,0.12817229943258285,0.05675150892826417,0.08618743278265262,0.10137597821341209,0.1321966124562284,0.03046363870923527,0.05996447018246818,0.12745830546147163,0.09867146650737538,0.10340977350213215,0.05379818105338721,0.07428757198345388,0.025952509106421457,0.028018758930551037
Cftr,0.1846031683821051,0.09648512577683192,0.04864413399591585,0.20324330523362058,0.1553303764375578,0.11484954268381957,0.06724829912206337,0.023830590710497406,0.07145581005950796,0.041607637834390795,0.0639398238952523,0.08905305004127466,0.01663825997630545,0.04700188427613748
Mc1r,0.5093925846466939,0.15826096546706225,0.11681166518997382,0.5117357928565608,0.576981207733231,0.16069915235103352,0.11187194538938738,0.7487155959696113,0.6835018009844454,0.7514704365170647,0.062284777285357945,0.6809686184264281,0.0037047885754442006,0.06190479883915899
Mgll,0.21022633489423712,0.0987235685087854,0.04009973470635026,0.24850660795933252,0.3740349724284429,0.05462675601675568,0.06297907570560249,0.4084757483054572,0.26261817727602826,0.43453556920840014,0.0900417430620388,0.3026462756977265,0.044225752035812645,0.1209295668895804
Ccr2,0.0020211933513136866,0.0020211933513136866,0.0020211933513136866,0.0019459862120118437,0.0019459862120118437,0.0019459862120118437,0.0019459862120118437,8.460809606470909e-05,8.460809606470909e-05,0.0,8.460809606470909e-05,0.0,8.460809606470909e-05,0.0
Iapp,0.0008615263120136798,0.0008615263120136798,0.0008615263120136798,0.0008615263120136798,0.0008615263120136798,0.0008615263120136798,0.0008615263120136798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cxcl12,0.008609237868573968,0.013374955868731801,0.01905668116249029,0.0007365200054826611,0.0070124132431186375,0.005403209848853003,0.011703859876473984,0.011084935557964604,0.003998251363396591,0.0036702216739561144,0.0153307564826237,0.004097279437113462,0.008076962854971155,0.007965556427797093
Gpr39,0.06978295266712138,0.09754963408114734,0.1270445738934872,0.13068423138606744,0.10113205953017372,0.03600740747568222,0.06529633282332048,0.07756586232111146,0.10694635340817618,0.13626961245168703,0.08787822060820567,0.16543263836402625,0.06275544269729201,0.028499188895238448
Dpp6,1.155663539959975,1.0409917619855582,0.9137512402141503,0.980513718059301,0.83316311318211,0.8635500072796441,0.7334260331551745,0.18409584570317253,0.31510703712897653,0.010720441349557661,0.08125355008635565,0.11814665684470294,0.19644283556640357,0.11674191033059816
Nlgn1,0.7103031909562864,0.5046113861508008,0.650473844564625,0.6881890575409573,0.8161784220258906,0.4870412497063735,0.6245730205361497,0.3904054833795857,0.2599926337257513,0.3663222613159584,0.16941552473268667,0.2316683562932489,0.02272000867816354,0.14699844971533116
Foxp1,0.22138022823929554,0.19051159570914336,0.18945606404396736,0.18961107184420212,0.1887843677042109,0.15853576637499767,0.15773858517147357,0.061191053584315445,0.06167821918737003,0.03028551243006646,0.030543857938205545,0.030529093993215545,0.03134103914172961,0.00042811594068292225
Gria4,2.4620394652504283,2.555182885056371,2.5790528832787456,1.956010660713149,1.9272998005964672,2.054912880588853,2.0274538498198256,0.4972653689882523,0.4717260549305238,0.08246025354305163,0.585067160154412,0.07620061671498836,0.5465912959913386,0.00851310293558883
