,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn9a,Scn10a_Scn9a,Scn11a_Scn7a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn11a_Scn7a,Scn11a_Scn7a,Scn10a_Scn11a,Scn10a_Scn7a,Scn11a,Scn7a,Scn10a
Abcc9,0.7631197046700886,0.7843852311821824,0.6184531783098356,0.6899480173176886,1.0218120974870242,0.9170851242797435,1.0425822037401045,0.4608482318105433,0.3662014278875801,0.4213279099252261,0.14807738397438353,0.3046533570969329,0.10289768294162244,0.07692554632225458
Gabbr2,0.0984494559823895,0.04717538662751633,0.22398669714882125,0.08635632070533229,0.030760380427229582,0.0996465866338481,0.039607033476612395,0.4085286942088019,0.25927186480847275,0.2681185263683034,0.2741245025749636,0.12819530933052303,0.12604451491851715,0.13886810873935332
Grik2,0.3131049453131211,0.6990752045244761,0.22273797540643628,0.6101083573108218,0.3766943607281294,0.46834479682768704,0.08459142709426312,0.1722748081150446,0.5482691074966586,0.2817769553654246,0.5213165499029102,0.6674555182708793,0.13114587367423586,0.3960045411738965
Slc18a2,2.9410838119997096,2.828449430549006,3.0997399543505306,2.9912463310139774,2.9291340710810054,3.103805086814693,3.0199107997996175,0.24909249220015317,0.16856380038685817,0.08088793902846925,0.2659583254450874,0.0023067620624180616,0.15988508454084827,0.10830436887857313
Kcnj16,0.025530983604665887,0.0251459795759091,0.016319602488592592,0.017779173039592876,0.03768449247320625,0.029409764146662166,0.029610884226814037,0.01513011104363095,0.018733065045711376,0.006700231310304478,0.0045970712582462415,0.010188259155649824,0.008389655408791866,0.0032179499733236386
Nos1,0.9086499340009826,0.7595550057281658,0.9799659484890181,0.8221630242993692,1.0015996891884837,1.0704300187100353,0.913412894480674,0.12032474852840756,0.022916709939565023,0.06111656992371235,0.22264007908043704,0.10346998241999267,0.08090608875240063,0.15772276753547884
Calca,0.009942665853881854,0.010297233562262436,0.009950052598519549,0.01030462030690013,0.010105176218796755,0.010119949212350739,0.010467130176093627,0.0008199375281972532,0.00018467061369962782,0.0008420980099710394,0.0005835591220397192,0.00021421790951210555,1.4773648897681665e-05,0.0006057196038135055
Npas4,0.0050299747520801685,0.0050299747520801685,0.005100378514059071,0.0051082010959489195,0.005076910768389524,0.005155137112258276,0.005162959694148124,6.258133233043015e-05,6.258133233043015e-05,0.00010169466700558747,1.5645332820122404e-05,8.604932998570296e-05,2.346799975515387e-05,7.822666410061202e-06
Cacng3,1.7535928447287776,1.6819756822149539,1.7174069990943583,1.6305779568268224,1.8334419781083082,1.7953695804067435,1.727353808039644,0.07012519353789165,0.11877893861190418,0.02541587988399408,0.014268564589606448,0.08161550291885006,0.03568855985481192,0.06796432722471181
Kcnip1,0.2603489251089036,0.24253609936284712,0.2714177302376185,0.2565709380530108,0.36979422078818897,0.3770187776512324,0.3608795235264408,0.06046418097197119,0.09221243274355158,0.07333912184145171,0.04004985561811659,0.10033176613826722,0.013537746177004806,0.025302495558122046
Slc8a3,0.45882382327229543,0.40280936105760357,0.5571857231593907,0.5015782786373022,0.46131299655308167,0.5572796210234928,0.5026428440299876,0.13931599831677244,0.09216240831973424,0.043396329344696526,0.1494762462502085,0.005354092588310645,0.09994306112316265,0.04875042232698422
Slc8a1,1.1372052699410726,1.2945060082096058,0.7426547030163969,0.8951819783510762,1.3689268845961875,0.9749313693354094,1.1317880103998272,0.7999134899763845,0.6273822383467553,0.400633907086931,0.5528281607354377,0.23673922396132102,0.39095386380398267,0.15634601774526383
Gnb3,0.00020906956017592899,0.00020906956017592899,0.00020906956017592899,0.00020906956017592899,0.00020906956017592899,0.00020906956017592899,0.00020906956017592899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alox12,0.2318466451443196,0.298477069127512,0.19807009847297427,0.27371604861145427,0.07582083604382918,0.04407052163667224,0.12074768140585872,0.04837023181952724,0.11930036987066184,0.07462680629359264,0.10277693859894226,0.15180449868233384,0.033107165571952694,0.07494039240209555
Naaa,0.12872848034341727,0.14711190929313472,0.10423842586314447,0.12381649244885577,0.1570566273130747,0.1333545231385509,0.15278008197542034,0.06728093647595756,0.04945669834092652,0.0473597280950122,0.040242742459729995,0.027660928233724617,0.022291416239757552,0.01927305194090769
Aqp1,0.018478862287790544,0.018478862287790544,0.018729424024005847,0.018729424024005847,0.018720473717663236,0.018979984559160182,0.018979984559160182,7.158881149252004e-05,7.158881149252004e-05,0.00025056084743018596,0.0003221496541184621,0.00025056084743018596,0.0003221496541184621,0.0
Ntrk3,1.114043157061439,1.1650313955205167,1.0580710144773675,1.1133125959784884,0.6902459643203818,0.6362308170255866,0.6813739101369373,0.3193418317743834,0.3545169196305101,0.3668334243023251,0.10714312528887261,0.4118460561686006,0.06163469691236978,0.0529974871982167
Mef2c,0.6397380975002129,0.6281769778762861,0.6230904381007987,0.6063611389544655,0.4478534061362625,0.4262171746576638,0.4384151117034467,0.14633431509238387,0.16675401571669232,0.17518805907474005,0.012140776620831156,0.1908314509618532,0.018721453073528266,0.010524183610749579
Kcnma1,0.27167213021795217,0.38926852613167856,0.12162892693767054,0.2339573774562761,0.2698540043936533,0.11738660727641398,0.23141664523937783,0.2579661510755847,0.1419548042262761,0.10300464687013301,0.26530864583771246,0.004778446070202642,0.14596403735094185,0.1101839683469246
Slc1a3,1.3388451867708138,0.9715657569670797,0.8090062817261278,0.43556108128388943,0.7189361954046399,0.1917635257290483,0.14660348269062026,0.4683479257387218,0.13302214533171866,0.943736495449079,0.14510370782180235,0.6189091740712064,0.4964271450752047,0.34265804649318876
Atp1b1,0.038871900191684045,0.0515355264735607,0.048554882472652286,0.0613667171524891,0.047089259339278544,0.05723333733020435,0.06850544467768735,0.011552060534361395,0.0012433079117601393,0.021111533975153463,0.0035405458160220004,0.008925469084386841,0.009114846865504555,0.013338800712142955
Nrxn1,2.0574138061370073,1.937841320030304,2.3494130718711195,2.2280604863370046,1.477762720269895,1.772329403967491,1.6541604080933212,1.015322164901272,0.8805163896430604,0.7085346707673947,0.4227998675334948,0.5856416559921244,0.2935054871442807,0.13062944778079477
Slc6a13,0.06761038823495158,0.07143739012891673,0.059653322400152135,0.06882262507101021,0.07018991470790541,0.06779363228213087,0.06610918781304963,0.008577279497619541,0.010628214898913827,0.00821078894378708,0.011854547358143838,0.009007200639508614,0.0063571947263658425,0.0107057416777127
Dlgap1,2.2191038294099625,2.1903205946163986,2.102611063598948,2.0497284941270637,1.7666556186363584,1.6506917007006208,1.6083479064880348,0.35234901614966424,0.3154823146489594,0.48931488058779754,0.08653854965133749,0.4309174163959319,0.1203833941133433,0.0560555252245227
Ctnna3,1.8013691836706123,1.6534767320879884,1.8515633872010149,1.716010058077555,1.447287493491551,1.5093536543067434,1.4229313671497212,0.5201607203867521,0.41481089269411076,0.4556138222300033,0.19568648119764223,0.36279643138344625,0.04576435016772922,0.14399419251475237
Grm8,2.6379997813296527,2.7861135543400692,2.573790992148368,2.7176860870015123,2.713380282377611,2.650364418039133,2.8321390255307395,0.31254860290148223,0.142905960524145,0.2717598960534883,0.20039419234985698,0.0822756627712757,0.06383055293335534,0.14118946418931386
