,Scn10a_Scn11a_Scn9a,Scn10a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a,Scn10a_Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn9a,Scn10a,Scn11a_Scn7a_Scn9a,Scn10a_Scn7a,Scn7a_Scn9a,Scn7a,Scn11a,Scn11a_Scn7a
Kcnh8,0.252313981758392,0.28677129510845567,2.06617032299516,2.3824019072383535,0.20378537161896826,2.3029213242072877,2.0593087295370225,2.3810593526499413,2.1151215950789797,2.296830444172932,2.1238975008705876,0.05471899303901213,0.03724173352710587,0.008825643877093108
Trdn,1.0454772684392033,0.6570672876955573,0.7704507790373094,0.6764229722387437,0.8976774510016041,0.9164130951680274,0.3765621106307572,0.27607489930396,1.0164944660110298,0.5183196361098322,0.6231131171221169,0.24843359614189026,0.40574781060535337,0.6521297358080277
Ano1,1.018229078839676,1.4370806639640514,0.9585659049167576,1.5885267275097783,0.6287078401883512,0.7758283670383332,0.5660811305467243,2.0173367680398635,1.7464119061295986,1.200356503892835,1.3567926165691229,0.8005282209399195,0.4010158980848175,1.1974583354468933
Grid2,5.658783393757638,3.196932217538141,6.925800706593395,1.1802385409801213,1.6572837376055871,0.32783964009583155,4.411041528248597,1.251390779285548,5.405665722568102,2.782472504640367,2.882101408362608,1.5209284792937656,2.481840436585421,0.9820911278578721
Adcy8,0.17340659052722704,0.4235591076295567,2.434034317023875,2.519663424683239,0.08412099581519827,2.8908948000419508,2.7058368802816477,2.28471541220238,2.102033300266299,2.6496667082806193,2.3801779131667677,0.3524942135000978,0.25341656678509195,0.6137196697880828
Fgf14,6.54188372437373,4.897350205207678,5.314214426695664,2.910202113941701,3.608175153400158,1.5515172291760109,3.6444258316214633,1.257547995676984,4.015831177219444,0.1029241959539143,2.3528806108543376,1.3707296258115311,1.686457023396977,0.31860266154459854
Celf4,3.8673403513325004,3.4153163081585975,1.7517998317719325,2.5686139721983423,3.2804880931140037,2.42787441751611,1.2961296422025366,2.1236063833977896,1.6075521889344861,1.9910431298762385,1.159644079461114,0.13960699050183403,0.4482119256552437,0.30167152890579924
Slc1a2,6.581586874890158,6.135757037939151,4.460695588246215,2.6184709237132693,3.272996294453562,0.23606442254615842,4.002140404813002,2.140477339729547,1.617557656272819,0.7301030102304764,1.1294207268019674,2.881424494231278,0.49577218686647406,2.3656605749166437
Hoxd1,0.013799538067635366,0.003668508480536422,0.0064013067347804455,0.017275657751264044,0.00924341732295664,0.023405870893213998,0.0037253507157745036,0.007337016961072844,0.012304150935778068,0.013043099759127551,0.002133768903768629,0.00610835081601087,0.010113539867195032,0.016527964185335395
Grm3,2.4707809816758783,1.867279114816702,1.720442132706675,1.3873075204326506,2.016867408785748,1.5445796001150254,1.0988017324537558,0.7804452213343992,1.890664589733768,0.9353001399048131,1.265899657448502,0.17214836543741172,0.6262780895162652,0.8005684815827384
Grik3,2.9059327144698615,1.6740438113747376,2.57679874184221,1.515678981202882,0.7786822547629239,0.6194412569240996,1.364446190911612,0.30221969868146253,1.708474343393875,0.6038091838029874,0.4921560661536502,0.8841563273328983,1.1924321146704806,0.316499117050131
Rapgef4,0.17289496178161598,0.13104042308090205,0.35645162554183407,0.13022028964795282,0.12798229936432826,0.1302758921517586,0.3131375269465284,0.1767871090625318,0.36362430655454686,0.1737428894700957,0.3194483808108721,0.014373160945204317,0.047498155989440516,0.0562137955217806
Grin2a,1.315509693943517,1.4726555175635037,1.285110691575373,0.13315231852576162,0.7399041212203303,0.8645425944137317,1.4281113447600537,0.029518231800522883,0.5314349521529627,0.7062757558779624,0.6708325334106482,0.7593872489618729,0.1485252858592513,0.9035087827312971
Scn11a,0.0,0.14028679568690028,0.0,0.0,0.16539722253634387,0.0,0.06514082073705504,0.07441460812276712,0.0,0.09956403841079574,0.0914604392572489,0.02635862850297997,0.0,0.0
Hcn1,5.647250468806689,5.321122163664896,1.9369683688441348,4.006222197614222,4.686895122807683,3.3983619814167505,1.6199764831703136,3.693954834282118,1.318200102867917,3.077861396410114,0.9955109956477838,0.6119246936911077,0.30591024264297695,0.2960096864859824
Pmp22,0.07347366682885907,0.018501935828450895,0.057298778084793084,0.07490422941355206,0.1592978567722155,0.10548011377682315,0.0013924137157489888,0.0190360123133954,0.1136438504465518,0.16115758653225978,0.16951207394693477,0.17365116430516983,0.056697940839188075,0.11702951416362083
Kcnn4,0.08231090788177028,0.013737187637024015,0.16090931574706707,0.004685044914851588,0.030504224520726986,0.045531903410586716,0.08835190380343987,0.07237038622674392,0.11976321246446513,0.11186129120541721,0.04908543031258748,0.034048400136883594,0.07124821937422508,0.03608700178798393
Scn9a,0.0,0.0,0.0,0.5055184922618875,0.0,0.7789788998580716,0.0,0.23589919594523,0.0,0.5009339736185268,0.0,0.25786594660319884,0.26885817166631104,0.536070168057045
