tf,up_accuracy,down_accuracy,avg_accuracy,up_overlap,down_overlap
Pou3f1_Ascl3,0.7989949748743719,0.6105263157894737,0.7047606453319228,59,18
Nr4a2_Neurog3,1.0,0.3894736842105263,0.6947368421052631,103,12
Pou3f2_Neurod1,0.7939698492462312,0.5947368421052631,0.6943533456757471,60,12
Pou4f2_Ascl1,0.9346733668341709,0.41578947368421054,0.6752314202591907,40,21
Nr4a2_Ascl2,0.9899497487437185,0.3368421052631579,0.6633959270034382,88,18
Pou4f1_Atoh1,0.7738693467336684,0.5526315789473685,0.6632504628405185,34,22
Pou3f2_Neurod6,0.7135678391959799,0.5578947368421052,0.6357312880190426,54,21
Nr4a2_Ascl1,0.9949748743718593,0.26842105263157895,0.6316979635017191,88,23
Nr4a2_Ascl3,1.0,0.2578947368421053,0.6289473684210527,85,25
Nr4a2_Neurog1,0.9899497487437185,0.2578947368421053,0.6239222427929119,78,28
Nr4a2_Neurod4,0.9949748743718593,0.25263157894736843,0.6238032266596139,83,27
Nr4a2_Atoh1,0.9949748743718593,0.25263157894736843,0.6238032266596139,88,28
Nr4a2_Ascl5,0.7185929648241206,0.5257731958762887,0.6221830803502046,53,10
Pou2f1_Atoh7,0.8341708542713567,0.39790575916230364,0.6160383067168302,21,22
Nr4a2_Atoh8,0.9447236180904522,0.28421052631578947,0.6144670722031209,64,22
Pou4f2_Atoh1,0.7638190954773869,0.4631578947368421,0.6134884951071145,30,16
Pou3f3_Ascl5,0.6733668341708543,0.5463917525773195,0.6098792933740869,52,10
Pou2f3_Ascl5,0.6733668341708543,0.5412371134020618,0.607301973786458,52,9
Nr4a2_Neurod6,0.9798994974874372,0.22631578947368422,0.6031076434805607,68,29
Nr4a2_Neurog2,0.9949748743718593,0.21052631578947367,0.6027505950806664,77,27
Pou4f3_Neurod4,0.47738693467336685,0.7157894736842105,0.5965882041787887,30,8
Nr4a2_Myf5,0.9798994974874372,0.21052631578947367,0.5952129066384555,66,22
Nr4a2_Neurod1,0.9798994974874372,0.20526315789473684,0.5925813276910871,67,27
Pou6f1_Ascl5,0.628140703517588,0.5515463917525774,0.5898435476350827,47,9
Pou3f2_Ascl5,0.6432160804020101,0.5360824742268041,0.5896492773144071,48,7
Pou3f2_Atoh8,0.6532663316582915,0.5210526315789473,0.5871594816186194,40,5
Pou3f1_Ascl5,0.6080402010050251,0.5567010309278351,0.5823706159664301,47,5
Pou1f1_Ascl5,0.6231155778894473,0.5412371134020618,0.5821763456457545,47,7
Nr4a2_Neurod2,0.9748743718592965,0.18421052631578946,0.5795424490875429,55,23
Pou4f3_Ascl5,0.6180904522613065,0.5360824742268041,0.5770864632440553,47,6
Pou4f2_Ascl5,0.6231155778894473,0.5257731958762887,0.5744443868828679,46,7
Pou4f1_Ascl5,0.6130653266331658,0.5257731958762887,0.5694192612547273,47,6
Pou4f3_Neurog2,0.8241206030150754,0.3105263157894737,0.5673234594022746,16,10
Pou5f1_Ascl5,0.5728643216080402,0.5567010309278351,0.5647826762679377,43,5
Pou4f3_Ascl2,0.3165829145728643,0.8105263157894737,0.563554615181169,32,11
Pou5f1_Ptf1a,0.2613065326633166,0.8631578947368421,0.5622322137000794,38,7
Pou4f2_Ascl2,0.32160804020100503,0.7473684210526316,0.5344882306268183,33,14
