,Gli2_Gli1_Gli3,Gli2_Gli1,Gli1_Gli3,Gli1,Gli2_Gli3,Gli2,Gli3
Col1a2,1.0352515965580609,0.6766703141440775,0.7087405268399891,0.3685418763736243,0.697413806080466,0.3123858962639267,0.3721627109666411
Myc,0.0022153052437973546,9.706234376833787e-05,0.003494244513598264,0.001507321122158633,0.0009021088551547642,0.0013931301001894236,0.0020383092038086395
Fap,2.3045736867671063,3.8606329646865016,2.5196307154403725,4.0543867404480585,1.7397364802756554,0.16943528808718533,1.5525285919588117
Lamp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clu,0.05799357702913103,0.0751700428225503,0.01918549930550238,0.0346673234959207,0.022559448090522637,0.04355461130775507,0.0188864449049728
Cdkn1a,0.008552620228884169,0.003632908506829178,0.010713880857100927,0.006000341988452928,0.0016138360665373652,0.0022181358652183813,0.0037395496477728865
Plg,0.15169458200228556,0.08306698018982468,0.139872203320396,0.051740514126412236,0.09569350004348001,0.029238504270532487,0.08472464560239558
Col5a2,0.6358101559337006,1.3995916606346128,0.6615263345152069,1.3978854073374312,0.7494486907376282,0.022839830570857207,0.7493999640121541
Cebpb,0.0629745132782802,0.060279346009324566,0.043053375330089655,0.03965746434382659,0.03628465506001802,0.03165666740123852,0.005629049787248741
Gli1,0.0,0.0,0.0,0.0,0.07119425082530766,0.1131378714729487,0.03829873386759002
Acta2,1.5262113617934079,0.926380561772997,0.9459801888729256,0.3441062301315951,1.1790709773306265,0.5859324355285309,0.6034154618550641
Irf7,0.018429189183688036,0.0023218759446023388,0.009702524653415343,0.024946146281402345,0.03978596174778866,0.029107573960246023,0.011160707782525129
Gpx1,0.0019100971666306294,0.0011806919354372955,0.0014378203290677965,5.772271520021073e-05,0.0016477211692393942,0.0010652464839075691,0.0013223749479690863
Ncor2,0.3935620629146029,0.3604664900376045,0.23346902273873424,0.18946764044640152,0.18452144726032615,0.15907960444411934,0.032566167855891906
Nedd9,0.9658095671051901,0.6489575022111715,0.8784255762962415,0.5711471302704743,0.4067245900828184,0.08177348519288219,0.3133382930065129
