,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
Lrriq1,-0.00059342384,0.0049175024,0.0045009553,0.004307717,0.00395447,0.009264171,0.008705765
Lrrk2,0.002464652,-0.0015976429,0.0065886974,0.0008739233,0.009116888,0.005005002,0.007512212
Colec12,0.0011808872,-0.008368731,0.03127265,-0.007429123,0.032244205,0.022385836,0.023144484
Lrrc4c,-0.00046306849,-0.0123387575,0.009642541,-0.012853324,0.00925535,-0.002713561,-0.0031220913
Zmat4,0.00050249696,0.0026401281,0.0019794106,0.003118366,0.002525419,0.004672885,0.005201459
Zfp3,1.2218952e-06,0.00013181567,-0.00024196506,0.00013799965,-0.00023925304,-0.00010159612,-9.49204e-05
Fgb,3.822148e-06,7.2054565e-05,1.9788742e-05,7.779896e-05,2.206862e-05,9.062886e-05,9.543449e-05
Aldh1a2,-0.0007479191,-0.002192974,0.0080856085,-0.0030144453,0.0073742867,0.005875051,0.0050730705
Zfp967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zfp408,0.000112235546,0.0015257597,0.00019443035,0.001655519,0.0002939701,0.0017242432,0.0018452406
Kcnd3,0.00014597178,0.0029312372,0.0027521253,0.0029472113,0.0029435754,0.0055187345,0.005569756
Ltf,2.0964071e-06,1.0117423e-05,-5.805865e-06,1.2278091e-05,-3.5604462e-06,5.4533593e-06,7.775612e-06
RP23-122B15.1,-1.4938414e-06,-9.3877316e-07,-5.364418e-07,-2.188608e-06,-1.5776604e-06,-2.1271408e-06,-3.002584e-06
Klf14,-5.3718686e-06,-7.778406e-06,-1.0371208e-05,-1.3500452e-05,-1.5623868e-05,-1.8335879e-05,-2.361089e-05
Chsy3,0.0072500706,-0.019888043,0.0090729,-0.012987733,0.016409397,-0.011325002,-0.004312873
